Date,equity
2023-12-13,1.2031695281893324
2023-12-14,1.2068309350003203
2023-12-15,1.2069482594902083
2023-12-18,1.2053024601077091
2023-12-19,1.2064815253532315
2023-12-20,1.2088228687131333
2023-12-21,1.2082679887478125
2023-12-22,1.208165767789667
2023-12-26,1.2084248750539164
2023-12-27,1.2109253962713131
2023-12-28,1.209952947560782
2023-12-29,1.2093643784513173
2024-01-02,1.2081035080821583
2024-01-03,1.209254039143808
2024-01-04,1.207079751599716
2024-01-05,1.2070861455256614
2024-01-08,1.2074139961988883
2024-01-09,1.2074260673035553
2024-01-10,1.2073517321746867
2024-01-11,1.2087438108527837
2024-01-12,1.2096229690890337
2024-01-16,1.2086386394056456
2024-01-17,1.2082023752866686
2024-01-18,1.2087143230054138
2024-01-19,1.2087478175351811
2024-01-22,1.208904664369126
2024-01-23,1.2090112823048984
2024-01-24,1.2089020420049759
2024-01-25,1.2100525846332935
2024-01-26,1.2098811345956777
2024-01-29,1.210334272883087
2024-01-30,1.2109190955705513
2024-01-31,1.2133249839988811
2024-02-01,1.2181103996853795
2024-02-02,1.2120817253506213
2024-02-05,1.2072315993439933
2024-02-06,1.2085131330307726
2024-02-07,1.20831909102981
2024-02-08,1.2082098053720245
2024-02-09,1.2083311127949838
2024-02-12,1.208630920649733
2024-02-13,1.2067905729485586
2024-02-14,1.2066151707906163
2024-02-15,1.2072643644547154
2024-02-16,1.207152295584833
2024-02-20,1.2072849359331161
2024-02-21,1.2073969833488638
2024-02-22,1.2080714681526732
2024-02-23,1.2083040320690466
2024-02-26,1.207950646971214
2024-02-27,1.206759449645506
2024-02-28,1.2070420163765667
2024-02-29,1.2087001560806359
2024-03-01,1.2100666292757136
2024-03-04,1.2099304887826883
2024-03-05,1.2106460293537549
2024-03-06,1.2123595550330935
2024-03-07,1.2129829207536815
2024-03-08,1.2128131759194591
2024-03-11,1.2122508499057465
2024-03-12,1.2101223581038663
2024-03-13,1.2099282126725672
2024-03-14,1.210185700371066
