Date,SHY,IEF,TLT,BIL,TBF
2011-07-11,23711.41887972505,27983.998581067575,26302.40331395189,20868.400012657272,16765.00617438764
2011-07-12,23708.610779363073,28024.14549969328,26392.06570838493,20872.94609047853,16703.97164624714
2011-07-13,23714.232214197673,28070.05978730792,26465.431131572914,20877.500606495283,16659.207111050968
2011-07-14,23705.810530167066,27909.398210075877,26087.744465081072,20877.500606495283,16887.077031044086
2011-07-15,23711.426730891024,28024.133675256602,26131.20407445683,20877.502716044157,16862.662139562613
2011-07-18,23711.434582056994,28006.926163783202,25878.519978736513,20877.500606495283,17025.432283648464
2011-07-19,23711.42149678038,28113.080044046,26416.50046166846,20877.500606495283,16667.346608461758
2011-07-20,23703.01028097106,27975.378566730444,26104.038378159254,20872.946090478534,16862.662139562613
2011-07-21,23691.764794246534,27820.472534050652,25902.960848353785,20872.946090478534,16992.879695131654
2011-07-22,23694.57027755319,27926.602765440097,26098.600957466122,20877.500606495287,16866.734588831187
2011-07-25,23683.337876105277,27837.68595774239,25813.30762842136,20877.50271604416,17045.78192736316
2011-07-26,23697.375760859846,27955.291804926324,25989.93817227582,20877.500606495287,16931.839765864803
2011-07-27,23683.337876105277,27909.410034512544,25992.635475454303,20877.50271604416,16927.772717722582
2011-07-28,23697.394080247108,27963.914775372625,26090.444826426432,20877.500606495287,16866.73278845573
2011-07-29,23722.659132338944,28302.41588021843,26606.733731756365,20877.494277848666,16524.92790846606
2011-08-01,23714.50700500664,28405.341689268556,26875.243841023905,20877.500606495283,16341.80632029006
2011-08-02,23745.409194265016,28667.028297354995,27682.21150725496,20877.500606495283,15873.852733249016
2011-08-03,23742.614179179658,28690.044563345695,27736.753913364082,20877.500606495283,15837.231296214535
2011-08-04,23765.081599130805,29069.617848987134,28723.64271100067,20877.500606495283,15287.893537318294
2011-08-05,23759.47324957282,28733.194888887218,27894.867256826576,20877.502716044157,15731.435833628766
2011-08-08,23767.913252990693,29190.395601309523,28775.441941428267,20877.500606495283,15239.061953979903
2011-08-09,23793.19400741447,29360.06444317985,28862.68226770103,20877.494277848662,15178.027425839404
2011-08-10,23810.058311918277,29748.275479813434,29721.43693169221,20877.494277848662,14730.418981574436
2011-08-11,23804.442111194323,29311.173353631915,28222.00548314025,20877.502716044157,15475.07677251016
2011-08-12,23807.252828611625,29515.360682269955,28780.903827456354,20877.494277848662,15186.163322499293
2011-08-15,23798.818059304398,29406.085150724575,28489.19446432037,20877.50060649528,15328.58202249499
2011-08-16,23798.82329341504,29541.220725281346,28960.834133362496,20877.49427784866,15080.366059538075
2011-08-17,23804.418557696412,29748.254787049245,29467.908781916052,20877.500606495272,14832.144695454808
2011-08-18,23801.641861998312,29903.551026139357,30073.147528798538,20868.40212220614,14514.746605257078
2011-08-19,23801.613074389752,29935.178438139686,30315.754964685406,20877.49427784866,14408.952042859035
2011-08-22,23798.81282519375,29880.552496803673,30239.435352301938,20868.39368401065,14441.504631375845
2011-08-23,23787.575189635187,29759.759963935434,29822.31668220085,20877.50060649528,14628.691467318613
2011-08-24,23787.575189635187,29440.56225196393,28974.458266764024,20877.50060649528,15055.950267868879
2011-08-25,23801.62615966637,29621.73922682961,29287.981534176786,20868.39368401065,14897.254373427051
2011-08-26,23804.429025917707,29716.64215559477,29576.953837964993,20877.50060649528,14742.625527127444
2011-08-29,23798.810208138428,29521.08075351219,29168.02799690603,20877.502716044153,14942.014407684594
2011-08-30,23804.434260028353,29725.259213822726,29636.93060660037,20877.502716044153,14710.068437672006
2011-08-31,23804.418557696416,29618.87180093557,29178.924245460377,20877.49427784866,14921.671965471693
2011-09-01,23811.183645707333,29854.902337543284,29797.459901889397,20877.49427784866,14628.687866567707
2011-09-02,23799.940776038133,30128.691256568065,30765.461460942865,20877.502716044153,14144.452584141909
2011-09-06,23802.741025234136,30169.033278398932,31085.37323894503,20872.94609047853,14002.036584709387
2011-09-07,23797.12220745486,30007.668147184635,30492.000179514373,20868.39157446178,14250.255248229478
2011-09-08,23805.554359706766,30154.63702674536,30765.452286442258,20868.40212220615,14128.180790822129
2011-09-09,23813.996980179963,30301.629555179432,31093.59970782271,20872.946090478534,13973.550144147071
2011-09-12,23797.12482451019,30209.36643190229,31126.389372992428,20872.939761831916,13961.339097655436
2011-09-13,23799.946010148782,30120.05350557592,30683.423076514307,20868.400012657276,14160.732479151215
2011-09-14,23799.91722254023,30137.34674421522,30943.20823570451,20868.393684010654,14042.72777044926
2011-09-15,23802.74364228947,29912.546466340962,30470.155693568897,20868.39157446178,14258.390244701643
2011-09-16,23808.386013566662,29970.187639029475,30691.622021890176,20868.400012657276,14164.80042748116
2011-09-19,23819.621032069892,30215.172230310432,31276.817543113048,20872.946090478534,13888.098023961928
2011-09-20,23808.362460068747,30255.514252141304,31408.046541629916,20872.946090478534,13822.99104655286
2011-09-21,23783.045066870447,30385.210585826906,32447.159654888892,20872.948200027407,13375.381702100167
2011-09-22,23785.87933778566,30667.643168062168,33666.72907875548,20868.395793559528,12858.59563153301
2011-09-23,23788.684821092313,30414.00900135239,33040.532714319546,20872.95030957628,13082.400303759356
2011-09-26,23780.260520006377,30287.197830215842,32510.044740216716,20872.946090478534,13298.066378762636
2011-09-27,23771.828367754475,30085.45224775148,32012.373954785427,20868.39579355953,13509.664505435974
2011-09-28,23763.367427894013,30091.231441177097,32001.441008228656,20872.948200027407,13513.73425414137
2011-09-29,23768.996713894587,30091.23439728626,32222.9103947168,20872.946090478534,13412.002238946921
2011-09-30,23780.25005178509,30281.43637344524,33032.32765260994,20872.95030957628,13082.400303759356
2011-10-03,23785.59669581074,30561.861757554678,33941.3830452629,20872.946090478534,12724.313728384928
2011-10-04,23771.524789336963,30405.89448168318,33510.985814616484,20872.948200027407,12878.939874121363
2011-10-05,23771.537874613583,30278.8468218131,33269.72397215199,20872.941871380786,12968.4653437628
2011-10-06,23765.898120391714,30068.028940308734,32655.650181184876,20868.395793559528,13204.477461729883
2011-10-07,23757.4424146419,29912.091225528922,32414.415862222202,20872.939761831916,13306.20587617343
2011-10-10,23737.74907333353,29597.31289676524,31956.614398262434,20868.39157446178,13493.387310989843
2011-10-11,23749.010262390002,29695.500062817282,31849.682535519994,20872.948200027404,13534.081197292893
2011-10-12,23749.010262390002,29594.45729530788,31386.400836530924,20868.402122206146,13733.46917766232
2011-10-13,23754.642165445897,29712.834686984952,31698.90267620943,20872.94609047853,13599.185474138787
2011-10-14,23765.890269225754,29565.570196507317,31238.35803656814,20868.40423175502,13798.578855634565
2011-10-17,23768.703603698377,29759.026848861486,31778.418072971028,20868.39368401065,13558.49518858664
2011-10-18,23768.719306030318,29727.26345583938,31581.004227074656,20872.946090478526,13643.946408584055
2011-10-19,23777.16454355884,29773.470398261765,31570.077396851622,20872.95663822289,13648.018857852627
2011-10-20,23779.959558644205,29712.840599203286,31345.292957477446,20872.941871380783,13741.60687469766
2011-10-21,23771.530023447624,29657.951564151223,31013.561364526493,20868.40423175502,13884.026474881082
2011-10-24,23771.537874613594,29643.531663624297,31065.64806263978,20868.39368401065,13867.751080810402
2011-10-25,23785.5914617001,29897.65950056531,31855.17500321677,20872.941871380783,13509.665405623698
2011-10-26,23771.51955522633,29678.168394758774,31298.671203559115,20872.94609047853,13749.744571733001
2011-10-27,23754.657867777845,29320.091934995115,30237.741127856487,20868.397903108398,14213.632911007275
